timestamp,symbol,direction,entry_price,exit_price,size_usd,pnl_usd,pnl_pct,exit_reason,hold_seconds,confidence,market_type
2026-02-22T11:21:46.244417,PI_ETHUSD,SHORT,1945.43065023,1942.89605371,92.41,0.12,0.1303,MAX_HOLD_FLAT,ML:0.27|Trend:DOWN|RSI:36|Sent:-0.82
2026-02-22T11:56:24.659240,ETH-USD,SHORT,1948.40031250,1942.96599750,195.40,0.54,0.2789,MAX_HOLD_FLAT,ML:0.25|Trend:DOWN|RSI:51|Sent:-0.82
2026-02-22T12:01:42.878452,ATOM-USD,SHORT,2.24987450,2.25062475,145.93,-0.05,-0.0333,MAX_HOLD_FLAT,ML:0.24|Trend:DOWN|RSI:45|Sent:-0.82
2026-02-22T12:01:42.903073,DOT-USD,SHORT,1.31434250,1.31415675,99.99,0.01,0.0141,MAX_HOLD_FLAT,ML:0.27|Trend:DOWN|RSI:45|Sent:-0.82
2026-02-22T12:01:42.927679,MATIC-USD,SHORT,0.10574710,0.10560277,99.99,0.14,0.1365,MAX_HOLD_FLAT,ML:0.34|Trend:DOWN|RSI:50|Sent:-0.82
2026-02-22T12:03:27.461160,PI_ETHUSD,SHORT,1953.60914137,1945.73543975,54.40,0.22,0.4030,MAX_HOLD_FLAT,ML:0.34|Trend:DOWN|RSI:56|Sent:-0.82
2026-02-22T12:06:58.504035,NEAR-USD,SHORT,1.00899525,1.01350650,99.98,-0.45,-0.4471,MAX_HOLD_FLAT,ML:0.18|Trend:DOWN|RSI:63|Sent:-0.82
2026-02-22T12:06:58.526934,LTC-USD,SHORT,53.20338500,53.31664500,99.98,-0.21,-0.2129,MAX_HOLD_FLAT,ML:0.20|Trend:DOWN|RSI:70|Sent:-0.82
2026-02-22T12:06:58.549115,AVAX-USD,SHORT,8.86056750,8.82941250,99.98,0.35,0.3516,MAX_HOLD_FLAT,ML:0.21|Trend:DOWN|RSI:70|Sent:-0.82
2026-02-22T12:06:58.571925,BTC-USD,SHORT,67384.27600750,67481.72900250,99.98,-0.14,-0.1446,MAX_HOLD_FLAT,ML:0.10|Trend:SIDE|RSI:49|Sent:-0.82
2026-02-22T12:06:58.595954,UNI-USD,SHORT,3.46826500,3.45872850,99.98,0.27,0.2750,MAX_HOLD_FLAT,ML:0.26|Trend:DOWN|RSI:69|Sent:-0.82
2026-02-22T12:06:58.618211,PAXG-USD,SHORT,5159.39901000,5149.39341000,99.97,0.19,0.1939,MAX_HOLD_FLAT,ML:0.16|Trend:SIDE|RSI:68|Sent:-0.82
2026-02-22T12:12:12.370435,XLM-USD,SHORT,0.15441076,0.15516004,151.19,-0.73,-0.4853,MAX_HOLD_FLAT,ML:0.28|Trend:DOWN|RSI:45|Sent:-0.82
2026-02-22T12:13:56.522494,PI_XRPUSD,SHORT,1.39108519,1.38633330,51.93,0.18,0.3416,MAX_HOLD_FLAT,ML:0.31|Trend:DOWN|RSI:44|Sent:-0.82
2026-02-22T12:22:40.106525,PI_XRPUSD,SHORT,1.39037289,1.38652329,49.98,0.14,0.2769,MAX_HOLD_FLAT,ML:0.29|Trend:DOWN|RSI:44|Sent:-0.82
2026-02-22T12:34:52.853968,PI_DOTUSD,SHORT,1.31294880,1.30904640,49.98,0.15,0.2972,MAX_HOLD_FLAT,ML:0.34|Trend:DOWN|RSI:36|Sent:-0.82
2026-02-22T12:40:07.305730,PI_AVAXUSD,SHORT,8.84791600,8.83206000,49.98,0.09,0.1792,MAX_HOLD_FLAT,ML:0.20|Trend:DOWN|RSI:43|Sent:-0.82
2026-02-22T12:40:07.329039,PI_DOTUSD,SHORT,1.31444760,1.31054760,49.98,0.15,0.2967,MAX_HOLD_FLAT,ML:0.31|Trend:DOWN|RSI:47|Sent:-0.82
2026-02-22T12:40:07.351654,PI_LTCUSD,SHORT,53.21063284,53.22689990,49.98,-0.02,-0.0306,MAX_HOLD_FLAT,ML:0.31|Trend:DOWN|RSI:52|Sent:-0.82
2026-02-22T14:24:38.076796,PI_LTCUSD,SHORT,53.19750066,53.11050865,49.98,0.08,0.1635,MAX_HOLD_FLAT,ML:0.23|Trend:DOWN|RSI:55|Sent:-0.82
2026-02-22T15:08:22.742126,PI_AVAXUSD,SHORT,8.81794000,8.82705600,49.99,-0.05,-0.1034,MAX_HOLD_FLAT,ML:0.09|Trend:DOWN|RSI:75|Sent:-0.82
2026-02-22T15:17:03.921743,PI_ADAUSD,SHORT,0.26862746,0.27005430,49.98,-0.27,-0.5312,MAX_HOLD_FLAT,ML:0.28|Trend:DOWN|RSI:38|Sent:-0.82
2026-02-22T15:24:07.686462,LINK-USD,SHORT,8.71963800,8.69534550,111.67,0.31,0.2786,MAX_HOLD_FLAT,ML:0.24|Trend:DOWN|RSI:66|Sent:-0.82
2026-02-22T15:43:20.545864,PI_AVAXUSD,SHORT,8.81794000,8.85708000,49.98,-0.22,-0.4439,MAX_HOLD_FLAT,ML:0.14|Trend:SIDE|RSI:70|Sent:-0.82
2026-02-22T15:52:00.811708,PI_DOTUSD,SHORT,1.30945160,1.31555160,49.98,-0.23,-0.4658,MAX_HOLD_FLAT,ML:0.18|Trend:DOWN|RSI:67|Sent:-0.82
2026-02-22T16:00:44.218343,PI_ADAUSD,SHORT,0.26933868,0.27085745,49.98,-0.28,-0.5639,MAX_HOLD_FLAT,ML:0.28|Trend:DOWN|RSI:65|Sent:-0.82
2026-02-22T16:00:44.246303,PI_DOTUSD,SHORT,1.30845240,1.31505120,49.98,-0.25,-0.5043,MAX_HOLD_FLAT,ML:0.10|Trend:SIDE|RSI:67|Sent:-0.82
2026-02-22T16:07:46.252323,SOL-USD,SHORT,83.19838000,83.54675250,165.31,-0.69,-0.4187,MAX_HOLD_FLAT,ML:0.12|Trend:DOWN|RSI:75|Sent:-0.82
2026-02-22T16:07:46.289192,BCH-USD,SHORT,569.69501000,572.49610500,99.97,-0.49,-0.4917,MAX_HOLD_FLAT,ML:0.18|Trend:SIDE|RSI:64|Sent:-0.82
2026-02-22T16:07:46.312120,AAVE-USD,SHORT,117.83605250,118.36415250,99.97,-0.45,-0.4482,MAX_HOLD_FLAT,ML:0.19|Trend:SIDE|RSI:73|Sent:-0.82
2026-02-22T16:09:33.227083,DOGE-USD,SHORT,0.09513741,0.09565780,99.98,-0.55,-0.5470,MAX_HOLD_FLAT,ML:0.21|Trend:DOWN|RSI:54|Sent:-0.82
2026-02-22T16:11:16.354602,XRP-USD,SHORT,1.38935498,1.39699815,99.98,-0.55,-0.5501,MAX_HOLD_FLAT,ML:0.19|Trend:DOWN|RSI:62|Sent:-0.82
2026-02-22T16:11:16.386560,ADA-USD,SHORT,0.26981503,0.27113550,99.97,-0.49,-0.4894,MAX_HOLD_FLAT,ML:0.23|Trend:DOWN|RSI:56|Sent:-0.82
2026-02-22T16:16:35.991636,PAXG-USD,SHORT,5143.93174750,5169.92867250,99.95,-0.51,-0.5054,MAX_HOLD_FLAT,ML:0.07|Trend:SIDE|RSI:35|Sent:-0.82
2026-02-22T16:33:11.002993,ATOM-USD,SHORT,2.24487700,2.24762325,99.95,-0.12,-0.1223,MAX_HOLD_FLAT,ML:0.20|Trend:SIDE|RSI:41|Sent:-0.82
